Date,Open,High,Low,Close,Adj Close,Volume
2018-07-16,250.429993,250.429993,242.000000,248.520004,241.122971,5317800
2018-07-23,248.389999,251.179993,240.289993,249.479996,242.054352,6979600
2018-07-30,249.229996,258.589996,249.229996,257.950012,250.272263,5891800
2018-08-06,257.140015,263.239990,256.929993,260.040009,252.300034,3570000
2018-08-13,260.850006,268.040009,260.049988,263.950012,256.093658,4772200
2018-08-20,263.950012,266.000000,260.809998,265.380005,257.481110,3904500
2018-08-27,266.380005,268.130005,263.179993,264.730011,256.850433,4075800
2018-09-03,264.170013,273.140015,262.709991,271.899994,263.807037,6535800
2018-09-10,267.730011,272.260010,260.799988,270.779999,263.449799,6387000
2018-09-17,272.170013,276.000000,268.989990,272.519989,265.142731,7136400
2018-09-24,271.899994,274.690002,268.869995,274.049988,266.631317,4976700
2018-10-01,274.760010,278.109985,273.220001,275.920013,268.450623,3994800
2018-10-08,275.950012,280.429993,266.029999,271.410004,264.062714,7097500
2018-10-15,270.989990,283.059998,267.320007,279.149994,271.593201,5748900
2018-10-22,279.260010,280.510010,263.510010,265.750000,258.555969,7910300
2018-10-29,267.920013,279.649994,259.720001,268.000000,260.745087,10501000
2018-11-05,268.959991,290.839996,268.079987,287.059998,279.289032,7125800
2018-11-12,287.209991,288.940002,275.760010,286.329987,278.578796,6834200
2018-11-19,286.820007,287.859985,276.399994,280.739990,273.140106,4120800
2018-11-26,283.730011,294.410004,276.290009,290.070007,282.217590,7584400
2018-12-03,292.950012,300.570007,274.970001,280.529999,272.935852,8815200
2018-12-10,280.000000,282.970001,270.359985,275.579987,268.800293,7038400
2018-12-17,268.209991,271.429993,248.889999,251.960007,245.761444,11994600
2018-12-24,250.100006,263.079987,246.570007,259.079987,252.706253,5091800
2018-12-31,259.690002,262.890015,248.089996,249.910004,243.761887,7102400
2019-01-07,249.919998,256.940002,241.179993,256.640015,250.326324,9245900
2019-01-14,255.990005,266.850006,253.690002,266.119995,259.573090,7090700
2019-01-21,265.619995,272.980011,262.380005,272.679993,265.971680,6403700
2019-01-28,270.910004,305.989990,267.600006,303.290009,295.828705,13091300
2019-02-04,303.559998,311.600006,300.329987,304.250000,296.765015,7147700
2019-02-11,304.630005,311.839996,299.609985,311.579987,303.914734,5192700
2019-02-18,311.000000,317.209991,308.859985,316.790009,308.996552,4385900
2019-02-25,317.640015,317.989990,297.700012,307.679993,300.110626,10672000
2019-03-04,307.619995,308.989990,286.820007,295.040009,287.781647,11023800
2019-03-11,295.209991,306.670013,292.579987,303.000000,295.545807,6167300
2019-03-18,304.000000,312.410004,300.829987,301.510010,294.864777,5629500
2019-03-25,301.570007,301.570007,279.220001,286.980011,280.654999,9172500
2019-04-01,289.799988,293.559998,284.570007,293.309998,286.845459,5359400
2019-04-08,293.140015,293.649994,249.149994,252.850006,247.277191,12834300
2019-04-15,254.600006,267.489990,227.160004,239.619995,234.338760,21530400
2019-04-22,240.740005,266.769989,239.070007,266.399994,260.528564,17644200
2019-04-29,266.700012,268.170013,255.429993,261.700012,255.932129,9280900
2019-05-06,257.250000,269.820007,256.100006,268.309998,262.396423,7326800
2019-05-13,264.489990,269.440002,257.500000,265.070007,259.227905,8243200
2019-05-20,264.989990,280.250000,262.579987,277.250000,271.139404,8219100
2019-05-27,278.119995,279.769989,269.440002,277.980011,271.853333,6464500
2019-06-03,277.429993,282.820007,273.799988,278.130005,272.000061,8470100
2019-06-10,280.000000,286.950012,277.929993,285.320007,279.838287,6487300
2019-06-17,285.450012,294.829987,285.190002,293.760010,288.116150,7521000
2019-06-24,293.790009,294.859985,275.540009,282.209991,276.788055,8494300
2019-07-01,283.899994,288.309998,277.149994,284.059998,278.602539,4380800
2019-07-08,283.480011,312.480011,281.399994,310.480011,304.514923,7624300
2019-07-15,309.700012,310.779999,297.010010,302.119995,296.315521,6287100
2019-07-22,301.739990,303.760010,280.059998,299.980011,294.216644,8575600
2019-07-29,299.700012,302.390015,288.320007,290.570007,284.987427,5491400
2019-08-05,287.549988,291.299988,279.540009,287.329987,281.809662,5951000
2019-08-12,285.500000,288.980011,270.959991,275.540009,270.246155,5686800
2019-08-19,278.000000,278.809998,259.290009,260.380005,255.377457,6712800
2019-08-26,262.359985,264.149994,250.190002,261.519989,256.495544,7305800
2019-09-02,259.809998,261.959991,248.690002,249.380005,244.588776,7454000
2019-09-09,250.809998,256.579987,247.610001,253.080002,248.217712,8786000
2019-09-16,252.500000,260.279999,251.000000,252.089996,248.042435,8925200
2019-09-23,250.850006,252.970001,235.449997,237.690002,233.873657,8125200
2019-09-30,237.220001,242.369995,235.119995,241.789993,237.907822,6591400
2019-10-07,241.750000,244.919998,234.910004,237.550003,233.735901,6463300
2019-10-14,237.610001,251.740005,234.690002,249.399994,245.395630,8654200
2019-10-21,250.929993,272.959991,249.490005,263.070007,258.846161,10936800
2019-10-28,264.600006,275.709991,263.010010,270.750000,266.402832,7409700
2019-11-04,272.399994,283.440002,266.529999,282.089996,277.560730,7027300
2019-11-11,279.779999,298.619995,277.730011,297.820007,293.038208,7450000
