Date,Open,High,Low,Close,Adj Close,Volume
2018-10-15,260.130005,272.809998,259.309998,265.299988,255.846420,20490800
2018-10-22,266.750000,266.829987,253.369995,258.179993,248.980179,21471700
2018-10-29,259.720001,266.380005,253.320007,261.010010,251.709335,17462000
2018-11-05,262.149994,278.000000,260.070007,276.549988,266.695526,18379600
2018-11-12,276.000000,277.790009,260.850006,271.109985,261.449432,16684800
2018-11-19,271.480011,272.269989,258.279999,261.619995,252.297592,11682100
2018-11-26,264.619995,285.450012,263.500000,281.359985,271.334106,22742400
2018-12-03,283.000000,287.940002,265.250000,269.179993,260.417694,19015800
2018-12-10,268.589996,274.559998,260.230011,265.019989,256.393066,16042900
2018-12-17,261.040009,262.750000,237.449997,238.339996,230.581589,35862200
2018-12-24,236.240005,249.789993,231.809998,246.240005,238.224442,14858800
2018-12-31,248.059998,250.279999,236.130005,239.619995,231.819946,17177600
2019-01-07,240.399994,247.759995,238.229996,247.669998,239.607895,18518200
2019-01-14,246.589996,266.260010,246.110001,265.500000,256.857513,24778900
2019-01-21,264.059998,270.410004,263.670013,268.049988,259.324463,12760200
2019-01-28,266.899994,272.440002,264.609985,268.720001,259.972687,16671200
2019-02-04,268.309998,272.089996,260.320007,261.899994,253.374664,16571100
2019-02-11,261.170013,271.130005,256.339996,271.130005,262.304230,18939500
2019-02-18,271.170013,272.489990,265.100006,267.109985,258.415070,11034900
2019-02-25,267.579987,268.170013,239.149994,246.149994,238.137360,33800500
2019-03-04,248.119995,248.449997,234.509995,237.289993,229.565781,30404700
2019-03-11,239.210007,255.059998,236.419998,251.399994,244.144775,23988400
2019-03-18,252.660004,259.250000,246.990005,247.089996,239.959167,18763300
2019-03-25,247.419998,247.889999,238.160004,247.259995,240.124252,21242000
2019-04-01,249.710007,250.199997,242.800003,248.779999,241.600388,17316500
2019-04-08,249.679993,249.940002,220.770004,223.220001,216.778030,30055700
2019-04-15,225.770004,238.009995,208.070007,221.750000,215.350464,73411800
2019-04-22,224.000000,237.110001,221.500000,237.000000,230.160339,39698000
2019-04-29,237.399994,238.080002,227.179993,231.949997,225.256104,27623100
2019-05-06,228.169998,243.149994,227.500000,240.589996,233.646729,24727200
2019-05-13,236.449997,242.440002,232.619995,241.380005,234.413956,24056600
2019-05-20,240.000000,251.179993,239.770004,247.630005,240.483582,21682600
2019-05-27,248.500000,249.300003,237.899994,241.800003,234.821838,16063400
2019-06-03,241.490005,247.070007,234.830002,246.770004,239.648392,18653300
2019-06-10,247.080002,250.690002,242.300003,245.369995,238.288803,13899100
